0.000000000000000000e+00 5.000000000000000000e-01
2.689078113405295234e+00 1.462963298545942870e+00
2.736741341089119040e+00 1.480031578831649597e+00
2.785277808160076418e+00 1.497222593452343098e+00
2.834704744066516291e+00 1.514536017052479089e+00
2.885039753523847228e+00 1.531971471639384186e+00
2.936300825478623366e+00 1.549528524392602025e+00
2.988506342306674224e+00 1.567206685395283960e+00
3.041675089251850483e+00 1.585005405284859892e+00
3.095826264112429449e+00 1.602924072820220758e+00
3.150979487182251848e+00 1.620962012362472393e+00
3.207154811453938770e+00 1.639118481266234273e+00
3.264372733091840839e+00 1.657392667178373857e+00
3.322654202182403260e+00 1.675783685240878285e+00
3.382020633770104201e+00 1.694290575194527637e+00
3.442493919187168849e+00 1.712912298379839493e+00
3.504096437685740195e+00 1.731647734631696522e+00
3.566851068381093448e+00 1.750495679063821086e+00
3.630781202515318995e+00 1.769454838739300540e+00
3.695910756050491575e+00 1.788523829223000794e+00
3.762264182601299911e+00 1.807701171011768526e+00
3.829866486716907659e+00 1.826985285838005568e+00
3.898743237522470650e+00 1.846374492842143278e+00
3.968920582730800284e+00 1.865867004609298441e+00
4.040425263035328562e+00 1.885460923065313654e+00
4.113284626895437057e+00 1.905154235227078718e+00
4.187526645725990093e+00 1.924944808801962726e+00
4.263179929503112753e+00 1.944830387630935187e+00
4.340273742798492762e+00 1.964808586969722493e+00
4.418838021255265147e+00 1.984876888602230549e+00
4.498903388518471047e+00 2.005032635780122696e+00
4.580501173634006662e+00 2.025273027982343876e+00
4.663663428930050259e+00 2.045595115488045401e+00
4.748422948395513821e+00 2.065995793756161270e+00
4.834813286570670776e+00 2.086471797604640965e+00
4.922868777965517140e+00 2.107019695182084096e+00
5.012624557021782223e+00 2.127635881724187161e+00
5.104116578635396806e+00 2.148316573087234005e+00
5.197381639256286157e+00 2.169057799050435609e+00
5.292457398583490402e+00 2.189855396378757924e+00
5.389382401873664463e+00 2.210705001637427003e+00
5.488196102881931715e+00 2.231602043749040920e+00
5.588938887454685478e+00 2.252541736283868445e+00
5.691652097794436926e+00 2.273519069473522336e+00
5.796378057417551410e+00 2.294528801937832263e+00
5.903160096826574943e+00 2.315565452114386247e+00
6.012042579919171459e+00 2.336623289379725854e+00
6.123070931156989971e+00 2.357696324850858893e+00
6.236291663518112038e+00 2.378778301855230204e+00
6.351752407257660771e+00 2.399862686056860817e+00
6.469501939502162458e+00 2.420942655225920337e+00
6.589590214703930471e+00 2.442011088638460059e+00
6.712068395982594637e+00 2.463060556092528941e+00
6.836988887382085878e+00 2.484083306526382096e+00
6.964405367072098230e+00 2.505071256223907472e+00
7.094372821524184580e+00 2.526015976591822643e+00
7.226947580693614981e+00 2.546908681492589643e+00
7.362187354239251746e+00 2.567740214116366992e+00
7.500151268814862604e+00 2.588501033374668747e+00
7.640899906466223968e+00 2.609181199797690809e+00
7.784495344169900299e+00 2.629770360916588778e+00
7.931001194550565181e+00 2.650257736111227835e+00
8.080482647815108166e+00 2.670632100903150619e+00
8.233006514943195242e+00 2.690881770672728823e+00
8.388641272175258123e+00 2.710994583778602252e+00
8.547457106840216312e+00 2.730957884056632867e+00
8.709525964567026435e+00 2.750758502674723438e+00
8.874921597925538919e+00 2.770382739318878684e+00
9.043719616543635098e+00 2.789816342684890316e+00
9.215997538749480356e+00 2.809044490249016590e+00
9.391834844789544334e+00 2.828051767289960772e+00
9.571313031674513638e+00 2.846822145133302673e+00
9.754515669707391368e+00 2.865338958588395712e+00
9.941528460749950113e+00 2.883584882546525563e+00
1.013243929828572654e+01 2.901541907707855916e+00
1.032733832933971563e+01 2.919191315403345310e+00
1.052631801831732972e+01 2.936513651476476028e+00
1.072947321282729405e+01 2.953488699188170585e+00
1.093690121155565009e+01 2.970095451106789852e+00
1.114870183426005923e+01 2.986312079943508557e+00
1.136497749395697632e+01 3.002115908291797197e+00
1.158583327137591823e+01 3.017483377227958563e+00
1.181137699175846301e+01 3.032390013727943145e+00
1.204171930408230473e+01 3.046810396853808722e+00
1.227697376279359887e+01 3.060718122661233664e+00
1.251725691213359148e+01 3.074085767777473777e+00
1.276268837314972515e+01 3.086884851597097690e+00
1.301339093348330422e+01 3.099085797040548762e+00
1.326949064003054346e+01 3.110657889818368105e+00
1.353111689457665712e+01 3.121569236141463755e+00
1.379840255250668690e+01 3.131786718815333437e+00
1.407148402470035009e+01 3.141275951653517140e+00
1.435050138272286091e+01 3.150001232142852992e+00
1.463559846742701964e+01 3.157925492290233560e+00
1.492692300108682346e+01 3.165010247577590530e+00
1.522462670318731170e+01 3.171215543948746607e+00
1.552886540999985243e+01 3.176499902748496584e+00
1.583979919807706338e+01 3.180820263530903969e+00
1.615759251180688238e+01 3.184131924650261514e+00
1.648241429517026191e+01 3.186388481544445206e+00
1.681443812785275682e+01 3.187541762616536545e+00
